

BİRİM FİYAT TEKLİF CETVELİ
İhale Kayıt Numarası (İKN) :

A	B
Sıra No	İş Kalemi No	İş Kaleminin Adı ve Kısa Açıklaması	Birimi	Miktarı	Teklif Edilen Birim Fiyat	Tutarı
205	25.300.1606/B	Çelik boru dış çap 60,3/3,9 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	7		
206	25.300.1608/B	Çelik boru dış çap 88,9/5,5 mm (bina içinde kaynaklı döşenmiş boru montaj malzemesi bedeli dahil)	metre	4		
207	25.305.4101/A	Anma ölçüsü 1/2" dış çap/et kalınlığı 20/2,8 mm PN 20 cam elyaf takviyeli polipropilen kompozit pp-rc boru (Bina içinde fizyoterm kaynak ve vidalı olarak döşenmiş polipropilen boru montaj malzemesi bedeli dahil)	metre	365		
208	25.305.4102/A	Anma ölçüsü 3/4" dış çap/et kalınlığı 25/3,5 mm PN 20 cam elyaf takviyeli polipropilen kompozit pp-rc boru (Bina içinde fizyoterm kaynak ve vidalı olarak döşenmiş polipropilen boru montaj malzemesi bedeli dahil)	metre	255		
209	25.305.4103/A	Anma ölçüsü 1" dış çap/et kalınlığı 32/4,4 mm PN 20 cam elyaf takviyeli polipropilen kompozit pp-rc boru (Bina içinde fizyoterm kaynak ve vidalı olarak döşenmiş polipropilen boru montaj malzemesi bedeli dahil)	metre	35		
210	25.305.4104/A	Anma ölçüsü 11/4" dış çap/et kalınlığı 40/5,5 mm PN 20 cam elyaf takviyeli polipropilen kompozit pp-rc boru (Bina içinde fizyoterm kaynak ve vidalı olarak döşenmiş polipropilen boru montaj malzemesi bedeli dahil)	metre	100		
211	25.305.6101/A	Sert pvc plastik pis su borusu dış çap ø 50-40/3,0 mm (geçme veya yapıştırma muflu) (Fittings, kapak ilavesi,tespit malzemesi ve conta karşılığı boru montaj malzemesi bedeli dahil) (TS EN1329-1)	metre	72		
212	25.305.6102/A	Sert pvc plastik pis su borusu dış çapø 75-70/3,0 mm (geçme veya yapıştırma muflu) (Fittings, kapak ilavesi,tespit malzemesi ve conta karşılığı boru montaj malzemesi bedeli dahil) (TS EN1329-1)	metre	185		
213	25.305.6103/A	Sert pvc plastik pis su borusu dış çapø 100-110/3,0 mm (geçme veya yapıştırma muflu) (Fittings, kapak ilavesi,tespit malzemesi ve conta karşılığı boru montaj malzemesi bedeli dahil) (TS EN1329-1)	metre	250		
214	25.305.6104/A	Sert pvc plastik pis su borusu dış çapø 125/3,2 mm (geçme veya yapıştırma muflu) (Fittings, kapak ilavesi,tespit malzemesi ve conta karşılığı boru montaj malzemesi bedeli dahil) (TS EN1329-1)	metre	16		
215	25.305.8401/A	PE-Xb Oksijen Bariyerli Boru 16x2,0 mm (Bina içinde boru montaj malzemesi bedeli dahil)	metre	1.750		
216	25.305.8500	Ø16- Ø17 çaplarında PE-Xa ve PE-Xb borularda kullanılan spiral koruyucu kılıfın işyerinde temini ve montajı.	metre	1.750		
217	25.312.1103	Yatay tip ; 75 Ø mm pis su geri tepme valfi	adet	6		
218	25.312.1201	Klapeli tip ;100 Ø mm rogar klapesi	adet	20		
219	25.312.1202	Klapeli tip ;125 Ø mm rogar klapesi	adet	3		
220	25.312.2101	Havalandırma boru ve şapkası 70 Ø mm	adet	3		
221	25.312.2102	Havalandırma boru ve şapkası 100 Ø mm	adet	6		
222	25.320.2101	15 Ø mm, 1/2" Pirinç, preste imal edilmiş teflon, (PTFE) contalı, tam geçişli, vidalı küresel vana (TS 3148) (TS EN 13547)	adet	26		
223	25.320.2102	20 Ø mm, 3/4" Pirinç, preste imal edilmiş teflon, (PTFE) contalı, tam geçişli, vidalı küresel vana (TS 3148) (TS EN 13547)	adet	3		
224	25.320.2105	40 Ø mm, 1 1/2" Pirinç, preste imal edilmiş teflon, (PTFE) contalı, tam geçişli, vidalı küresel vana (TS 3148) (TS EN 13547)	adet	20		
225	25.320.2106	50 Ø mm, 2" Pirinç, preste imal edilmiş teflon, (PTFE) contalı, tam geçişli, vidalı küresel vana (TS 3148) (TS EN 13547)	adet	6		
226	25.320.2301	40 Ø mm PN 10-16, Gövdesi pik döküm, küresi dolu paslanmaz çelikten, tam geçişli, paslanmaz çelikten veya teflon tabak yay takviyeli contalı, iki parçalı, flanşlı küresel vana (TS 3148)	adet	8		
227	25.320.2302	50 Ø mm PN 10-16, Gövdesi pik döküm, küresi dolu paslanmaz çelikten, tam geçişli, paslanmaz çelikten veya teflon tabak yay takviyeli contalı, iki parçalı, flanşlı küresel vana (TS 3148)	adet	30		
228	25.320.2303	65 Ø mm PN 10-16, Gövdesi pik döküm, küresi dolu paslanmaz çelikten, tam geçişli, paslanmaz çelikten veya teflon tabak yay takviyeli contalı, iki parçalı, flanşlı küresel vana (TS 3148)	adet	15		
229	25.320.2304	80 Ø mm PN 10-16, Gövdesi pik döküm, küresi dolu paslanmaz çelikten, tam geçişli, paslanmaz çelikten veya teflon tabak yay takviyeli contalı, iki parçalı, flanşlı küresel vana (TS 3148)	adet	8		
230	25.320.2506	50 Ø mm PN 10-16 Gövdesi pik döküm, küresi dolu paslanmaz çelikten, tam geçişli, paslanmaz çelikten veya teflon tabak yay takviyeli contalı, üç parçalı, flanşlı küresel vana (TS 3148)	adet	4		
231	25.320.3102	Doğalgaz küresel vana, pirinç preste imal edilmiş teflon contalı, tam geçişli, (3/4" vidalı) ø 20 mm. (TS EN 331)	adet	8		
232	25.320.3103	Doğalgaz küresel vana, pirinç preste imal edilmiş teflon contalı, tam geçişli, (1" vidalı) ø 25 mm. (TS EN 331)	adet	8		
233	25.320.3104	Doğalgaz küresel vana, pirinç preste imal edilmiş teflon contalı, tam geçişli, (1 1/4" vidalı) ø 32 mm. (TS EN 331)	adet	12		
234	25.320.3105	Doğalgaz küresel vana, pirinç preste imal edilmiş teflon contalı, tam geçişli, (1 1/2" vidalı) ø 40 mm. (TS EN 331)	adet	6		
235	25.320.3302	Doğalgaz Küresel Vanaları (TS 9809) ø 80 mm. (TS EN 331)	adet	2		
236	25.320.9201	50 Ø mm Flatörlü Seviye Kontrol Vanası ( PN16, flanşlı)	adet	2		
237	25.325.1205	Pislik tutucu,pn 16,( buhar+su için,pik dök.)ø 40 mm, Vidalı veya Flanşlı (TS 11494)	adet	10		
238	25.325.1206	Pislik tutucu,pn 16,( buhar+su için,pik dök.)ø 50 mm, Vidalı veya Flanşlı (TS 11494)	adet	5		
239	25.325.2205	Ø40 mm (1 1/2") Vidalı veya Flanşlı Geri Tepme Ventilleri (TS EN 1074-3)	adet	10		
240	25.325.2302	Geri tepme ventili, flanşlı döküm gövdeli ø 80 mm. (TS EN 1074-3)	adet	2		
241	25.325.3206	ø 50 mm Geri tepme ventili, PN-16, Gövdesi Demir Döküm, Baskı Yaylı veya Subaplı, Vidalı veya Flanşlı, Buhar İçin (TS EN 12334)	adet	5		
242	25.327.1101	Emniyet ventili pirinç,yaylı,vidalı,pn-16 ø 15 mm.(1/2) (ts en ıso 4126-1, 4, 6,7)	adet	8		
243	25.327.1105	Emniyet ventili pirinç,yaylı,vidalı,pn-16 ø 40 mm.(1 1/2)(ts en ıso 4126-1, 4, 6,7)	adet	3		
244	25.337.1303	Flanşlı hava ayrıcı Ø 80 mm	adet	2		
245	25.337.2203	Flanşlı tortu ayırıcı Ø 80 mm	adet	2		
246	25.345.2103	Doğalgaz filitreleri 2 bar dişli dn25 (1") vidalı (TS 10276)	adet	3		
247	25.345.2105	Doğalgaz filitreleri 2 bar dişli dn40 (1 1/2") vidalı (TS 10276)	adet	3		
248	25.345.3203	Filtreli regülatör 1 bar'a kadar dn 32 (1 1/4") vidalı (ts 10624)	adet	3		
249	25.345.3204	Filtreli regülatör 1 bar'a kadar dn 40 (1 1/2") vidalı (ts 10624)	adet	3		
250	25.350.3001	Değişken devirli ( frekans konvertörlü )Islak Rotorlu sirkülasyon pompası (0,5 - 3,5) m3/h (1 – 3) mss (TS EN 16297/1-2-3)	adet	8		
251	25.350.3002	Değişken devirli ( frekans konvertörlü )Islak Rotorlu sirkülasyon pompası (3,5 - 7,0) m3/h (1 – 3) mss (TS EN 16297/1-2-3)	adet	3		
252	25.350.3004	Değişken devirli ( frekans konvertörlü )Islak Rotorlu sirkülasyon pompası (3- 6) m3/h (3 – 5) mss (TS EN 16297/1-2-3)	adet	8		
253	25.360.1308	Debisi 15-20 m3/h, basıncı 15-20 mss parçalayıcı bıçaklı dalgıç tip su pompası (TS 12599)	adet	3		
254	25.365.1101	15 ø mm - 50 ø mm, (1/2" - 2") arası (2") dahil boru boyanması, sülyen boya ile	metre	210		
255	25.365.1102	50 ø mm - 100 ø mm, (2" - 4") arası (4") dahil boru boyanması, sülyen boya ile	metre	25		
256	25.365.1201	15 ø mm - 50 ø mm, (1/2" - 2") arası (2") dahil boru boyanması, yağlı boya ile	metre	25		
257	25.400.2516	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (1") 33 ø mm, cam yünü et kalınlığı: 30 mm	metre	15		
258	25.400.2521	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (11/4") 42 ø mm, cam yünü et kalınlığı: 30 mm	metre	20		
259	25.400.2526	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (11/2") 48 ø mm, cam yünü et kalınlığı: 30 mm	metre	55		
260	25.400.2531	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (2") 60 ø mm, cam yünü et kalınlığı: 30 mm	metre	60		
261	25.400.2538	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (21/2") 76 ø mm, cam yünü et kalınlığı: 40 mm	metre	3		
262	25.400.2548	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (3") 89 ø mm, cam yünü et kalınlığı: 80 mm	metre	35		
263	25.400.2552	Alüminyum Folyo Kaplı Cam Yünü Prefabrik Boru İle Isı Yalıtımı boru dış çapı: (4") 114 ø mm, cam yünü et kalınlığı: 40 mm	metre	8		
264	25.400.7305	Anma Çapı NW 40 İzolasyon Malzemesi Kauçuk Olan Kelebek Vanalar, Tüm Dişli Grup Vanaları, Çekvalfler için Yalıtım Ceketi	adet	20		
265	25.400.7506	Anma Çapı NW 50 İzolasyon Malzemesi Taşyünü/ İğnelenmiş Cam Elyaf Olan Pislik Tutucular,Üç parçalı Küresel Vanalar Statik Balans Vanaları,Sürgülü Vanalar,Fanşlı çekvalfler,Glob Vanalar,Üçyollu vanalar,Pompalar için Yalıtım Ceketi	adet	30		
266	25.400.7507	Anma Çapı NW 65 İzolasyon Malzemesi Taşyünü/ İğnelenmiş Cam Elyaf Olan Pislik Tutucular,Üç parçalı Küresel Vanalar Statik Balans Vanaları,Sürgülü Vanalar,Fanşlı çekvalfler,Glob Vanalar,Üçyollu vanalar,Pompalar için Yalıtım Ceketi	adet	3		
267	25.400.7508	Anma Çapı NW 80 İzolasyon Malzemesi Taşyünü/ İğnelenmiş Cam Elyaf Olan Pislik Tutucular,Üç parçalı Küresel Vanalar Statik Balans Vanaları,Sürgülü Vanalar,Fanşlı çekvalfler,Glob Vanalar,Üçyollu vanalar,Pompalar için Yalıtım Ceketi	adet	8		
268	25.400.9201	Boru Yalıtım Malzemesinin Üzerine Galvaniz Sac (0,5 mm) Kaplama Yapılması, kaplama çapı 50 mm'ye kadar	metre	320		
269	25.400.9202	Boru Yalıtım Malzemesinin Üzerine Galvaniz Sac (0,5 mm) Kaplama Yapılması, 50 mm dahil kaplama çapı 100 mm’ye kadar	metre	180		
270	25.470.1101	En geniş kenarı 600 mm.ye kadar olanlarda 0,60 mm. galvanizli saçtan dikdörtgen hava kanalı yapılması	metrekare	40		
271	25.470.1302	En geniş kenarı 499 mm.ye kadar 0.60 mm. paslanmaz çelik levha kullanılarak hava kanalı yapılması	metrekare	45		
272	25.552.1105	Dış hava tipi elektronik sıcaklık duyar elemanı	adet	2		
273	25.555.1002	Oransal kontrollü elektronik sıcak su (kazan) kontrol paneli	adet	2		
274	25.700.1203	Hortum çapı DN 25 hortum uzunluğu 30 m olan TS EN 671-1 normlarında tüplü model yangın dolabı	adet	4		
275	25.712.1000	İtfaiye bağlantı ağzı	adet	2		
276	25.712.1101	Damlatma vanası ilavesi itfaiye bağlantı ağzı için ödenecek fark	adet	2		
277	25.712.1102	Arka plakası ilavesi itfaiye bağlantı ağzı için ödenecek fark	adet	2		
278	25.712.1103	İtfaiye bilgi levhası ilavesi itfaiye bağlantı ağzı için ödenecek fark	adet	2		
279	25.712.1104	PN 16 basınç sınıfı ilavesi itfaiye bağlantı ağzı için ödenecek fark	adet	2		
280	25.715.4207	Dn 100 yangın çek vana	adet	3		
281	35.420.1350	Doğalgaz dedektörü	adet	3		
282	48.700.1901	Füme renkli aynaya bizote yapılması ve yerine monte edilmesi (5 mm kalınlığında)	metrekare	15		
TOPLAM TUTAR (KDV Hariç)	

	


